藥品代碼,藥品分類分組名稱,含包裹支付的醫令量_合計
AB03388100,HYDROCHLOROTHIAZIDE ， 一般錠劑膠囊劑 ， 50.00 MG,111506.3
AB033881G0,HYDROCHLOROTHIAZIDE ， 一般錠劑膠囊劑 ， 50.00 MG,717749.5
AB03389100,ACETAZOLAMIDE ， 一般錠劑膠囊劑 ， 250.00 MG,1511599.2
AB03552212,METOCLOPRAMIDE ， 注射劑 ， 10.00 MG,739918.8
AB03976100,BISMUTH SUBCARBONATE ， 一般錠劑膠囊劑 ， 324.00 MG,70932
AB07140100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,2545074
AB071401G0,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,4559552.3
AB07641100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,1139745.4
AB08642209,BUTYLSCOPOLAMINE ， 注射劑 ， 20.00 MG,60984.7
AB08774100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,10211349.1
AB09102100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,15821110.3
AB091021G0,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,124687686.4
AB13578209,TRIAMCINOLONE ， 注射劑 ， 10.00 MG,290727.6
AB13578221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,16776.1
AB13578229,TRIAMCINOLONE ， 注射劑 ， 100.00 MG,22221.6
AB14154100,ALLOPURINOL ， 一般錠劑膠囊劑 ， 100.00 MG,198571
AB141541G0,ALLOPURINOL ， 一般錠劑膠囊劑 ， 100.00 MG,4143292.3
AB14184100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,292585
AB14422143,CYPROHEPTADINE ， 口服液劑 ， 0.40  MG/ML ， 30.00 ML,11370.9
AB14422151,CYPROHEPTADINE ， 口服液劑 ， 0.40  MG/ML ， 60.00 ML,283345.9
AB14422157,CYPROHEPTADINE ， 內服液劑 ， 0.40  MG/ML ， 120.00 ML,5967.5
AB14914209,TRIAMCINOLONE ， 注射劑 ， 40.00 MG,249689.5
AB14914221,TRIAMCINOLONE ， 注射劑 ， 200.00 MG,128.6
AB14914229,TRIAMCINOLONE ， 注射劑 ， 400.00 MG,16434.9
AB15842209,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 1000.00 MG,57357.4
AB16887209,DEXTROMETHORPHAN ， 注射劑 ， 10.00 MG,4232.4
AB18251100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,399367.5
AB182511G0,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,49979559.7
AB19505209,SCOPOLAMINE ， 注射劑 ， 20.00 MG,1471.7
AB198751G0,PROPRANOLOL ， 一般錠劑膠囊劑 ， 40.00 MG,5762457.5
AB19877100,ETHAMBUTOL ， 一般錠劑膠囊劑 ， 400.00 MG,611328
AB20333100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,10028275.1
AB203331G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,673726.3
AB20785212,DICLOFENAC ， 注射劑 ， 50.00 MG,3170.2
AB20785216,DICLOFENAC ， 注射劑 ， 75.00 MG,52853.3
AB21199100,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,2199968.1
AB211991G0,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,1537277.1
AB22345100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,3744277.6
AB223451G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,7944734.4
AB22903100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,2818846.7
AB229031G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,1379876.7
AB22908100,SPIRONOLACTONE ， 一般錠劑膠囊劑 ， 25.00 MG,1005.5
AB23008100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,684337.6
AB23037100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,578744.4
AB230371G0,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,42466747.5
AB23048209,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 1000.00 MG,2126.5
AB23435216,DICLOFENAC ， 注射劑 ， 75.00 MG,35.4
AB24197100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,3301441.3
AB241971G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,30373.6
AB24516255,SODIUM CHLORIDE ， 注射劑 ， 9.00  MG/ML ， 100.00 ML,189189.6
AB24516265,SODIUM CHLORIDE ， 注射劑 ， 9.00  MG/ML ， 250.00 ML,756483.1
AB24708100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,3156.4
AB247081G0,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,24
AB24924216,DICLOFENAC ， 注射劑 ， 75.00 MG,7251.4
AB25402100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,7968460.3
AB254021G0,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,10611107.6
AB25524100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,9217810
AB255241G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,777518.1
AB25682500,ECONAZOLE ， 陰道用錠劑膠囊劑 ， 150.00 MG,29271
AB26442100,SEAPROSE S ， 一般錠劑膠囊劑 ， 15.00 MG,725090.1
AB26462209,PROGESTERONE ， 注射劑 ， 50.00 MG,24825
AB26462229,PROGESTERONE ， 注射劑 ， 500.00 MG,3487.3
AB26653100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,4256193.4
AB27082100,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,1460918.4
AB270821G0,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,3908388.1
AB27629100,BROMOCRIPTINE ， 一般錠劑膠囊劑 ， 2.50 MG,2421
AB27812212,CIMETIDINE ， 注射劑 ， 200.00 MG,26
AB27928212,FUROSEMIDE ， 注射劑 ， 20.00 MG,545452.3
AB28041100,AMIODARONE ， 一般錠劑膠囊劑 ， 200.00 MG,2713234.1
AB28476100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,1971443.2
AB28576216,DICLOFENAC ， 注射劑 ， 75.00 MG,959.4
AB28649100,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,111430
AB286491G0,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,11843372.7
AB28656500,DICLOFENAC ， 栓劑 ， 12.50 MG,1749128.2
AB28921100,PIRACETAM ， 一般錠劑膠囊劑 ， 400.00 MG,1823834
AB289211G0,PIRACETAM ， 一般錠劑膠囊劑 ， 400.00 MG,6846527.8
AB29355100,POLYMAGAL 100MG + SULCAIN 100MG， 一般錠劑膠囊劑，,24
AB293551G0,POLYMAGAL 100MG + SULCAIN 100MG， 一般錠劑膠囊劑，,9
AB29447209,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 1000.00 MG,2259183.1
AB29447212,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 2000.00 MG,12
AB29447277,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 500.00 MG,35661.4
AB29478100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,440482
AB294781G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,2794131.7
AB29551100,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,76341
AB29581100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,5125068.6
AB297291G0,SUCRALFATE ， 一般錠劑膠囊劑 ， 500.00 MG,24
AB29836277,SODIUM CHLORIDE ， 注射劑 ， 9.00  MG/ML ， 500.00 ML,1
AB29905100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,7078989.5
AB29987100,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,3830203
AB30119100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,10669928
AB30122100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,2170185.8
AB301221G0,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,160321.6
AB30647500,DICLOFENAC ， 栓劑 ， 12.50 MG,17727.7
AB30651500,DICLOFENAC ， 栓劑 ， 25.00 MG,563.3
AB30749100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,2187236.5
AB307491G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,4491165.6
AB30917100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,600645.3
AB30970100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,8281
AB30999100,PIPERILATE （=PIPETHANATE）ETHOBROMIDE ， 一般錠劑膠囊劑 ， 10.00 MG,129078.5
AB309991G0,PIPERILATE （=PIPETHANATE）ETHOBROMIDE ， 一般錠劑膠囊劑 ， 10.00 MG,49115
AB31034377,SODIUM CHLORIDE ， 外用液劑 ， 9.00  MG/ML ， 500.00 ML,23630.5
AB31086329,BETAMETHASONE (DIPROPIONATE) ， 外用液劑 ， 0.50  MG/GM ， 10.00 GM,103652
AB31138100,BEZAFIBRATE ， 一般錠劑膠囊劑 ， 200.00 MG,18583
AB31176500,DICLOFENAC ， 栓劑 ， 25.00 MG,28825.8
AB31295100,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,481533
AB312951G0,OXAZOLAM ， 一般錠劑膠囊劑 ， 10.00 MG,203463
AB31447100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,354088.9
AB31596100,TICLOPIDINE ， 一般錠劑膠囊劑 ， 100.00 MG,8255224.3
AB31608500,DOMPERIDONE ， 栓劑 ， 10.00 MG,3211.1
AB31881500,DICLOFENAC ， 栓劑 ， 12.50 MG,193004.2
AB31889100,DILTIAZEM ， 一般錠劑膠囊劑 ， 30.00 MG,75424.5
AB31896100,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,9185769.9
AB318961G0,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,25156407.8
AB31990100,OXETHAZAINE ， 一般錠劑膠囊劑 ， 10.00 MG,18556067.1
AB319901G0,OXETHAZAINE ， 一般錠劑膠囊劑 ， 10.00 MG,5266439.7
AB32309100,ACETAMINOPHEN 450MG + CHLORMEZANONE 100MG， 一般錠劑膠囊劑，,163803.6
AB323091G0,ACETAMINOPHEN 450MG + CHLORMEZANONE 100MG， 一般錠劑膠囊劑，,16128
AB32312100,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,5513567
AB323121G0,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,9908812.5
AB32315100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,307930.5
AB323151G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,39565.1
AB32322100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,17900
AB323221G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,39832.5
AB32506100,PIPERILATE （=PIPETHANATE）ETHOBROMIDE ， 一般錠劑膠囊劑 ， 10.00 MG,2606171.6
AB325061G0,PIPERILATE （=PIPETHANATE）ETHOBROMIDE ， 一般錠劑膠囊劑 ， 10.00 MG,208469.8
AB32549209,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 1000.00 MG,2434235.9
AB32549277,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 500.00 MG,33
AB32576216,DICLOFENAC ， 注射劑 ， 75.00 MG,3711.4
AB32648100,RANITIDINE ， 一般錠劑膠囊劑 ， 150.00 MG,99
AB32814100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,491025.3
AB32926100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,2629900.9
AB329261G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,447471.9
AB32990238,FAMOTIDINE ， 注射劑 ， 20.00 MG,14
AB33029100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,288931
AB330291G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,2970624.9
AB33064100,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,56687
AB330641G0,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,764
AB33091100,TICLOPIDINE ， 一般錠劑膠囊劑 ， 250.00 MG,2999692.6
AB33128100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,42542.8
AB331281G0,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,10052
AB33411100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,1687110
AB334111G0,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,242634
AB33540100,CEPHRADINE ， 一般錠劑膠囊劑 ， 250.00 MG,12491.5
AB33541421,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,65352.6
AB33541423,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 6.00 GM,23690.6
AB33544100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,9539527.3
AB33545100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,30560
AB33546100,DICLOFENAC ， 一般錠劑膠囊劑 ， 25.00 MG,161525.9
AB33698209,CEFAZOLIN (=CEPHAZOLIN) ， 注射劑 ， 1000.00 MG,399864
AB33699100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,4927538.4
AB336991G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,7824477.2
AB33829100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,124970.1
AB33945216,DICLOFENAC ， 注射劑 ， 75.00 MG,19314.3
AB33947100,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,2308968.2
AB339471G0,DOMPERIDONE ， 一般錠劑膠囊劑 ， 10.00 MG,26994908.7
AB34032209,CEFTRIAXONE ， 注射劑 ， 1000.00 MG,41005.6
AB34087100,RANITIDINE ， 一般錠劑膠囊劑 ， 150.00 MG,42
AB34096100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,137006
AB340961G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,12790791.5
AB34110100,AMANTADINE ， 一般錠劑膠囊劑 ， 100.00 MG,27
AB34359100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,13203.5
AB343591G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,68168
AB34364100,PENTOXIFYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,530140.5
AB34736100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,12349
AB347361G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,8668
AB348041G0,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,136630.8
AB35054100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,5596.8
AB350541G0,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,1549
AB35169500,CLOTRIMAZOLE ， 陰道用錠劑膠囊劑 ， 100.00 MG,121803.2
AB35179100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 100.00 MG,1921072
AB35665100,METFORMIN ， 一般錠劑膠囊劑 ， 250.00 MG,25172
AB356651G0,METFORMIN ， 一般錠劑膠囊劑 ， 250.00 MG,1499792.5
AB35680321,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 5.00 GM,2417
AB35680329,CLOBETASOL PROPIONATE ， 外用軟膏劑 ， 0.50  MG/GM ， 10.00 GM,1547
AB35833309,SODIUM CHLORIDE ， 外用液劑 ， 9.00  MG/ML ， 1000.00 ML,16694.5
AB35833377,SODIUM CHLORIDE ， 外用液劑 ， 9.00  MG/ML ， 500.00 ML,56009.4
AB36015338,ETOFENAMATE ， 外用軟膏劑 ， 100.00  MG/GM ， 20.00 GM,10671
AB36082100,CEFACLOR ， 一般錠劑膠囊劑 ， 250.00 MG,4885961.2
AB361291G0,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,168
AB36130100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,270
AB361301G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,1007
AB36247100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,119236.5
AB362471G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,36652
AB36248100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 100.00 MG,976515
AB36485100,FLURBIPROFEN ， 一般錠劑膠囊劑 ， 50.00 MG,11241
AB36534100,PIRACETAM ， 一般錠劑膠囊劑 ， 400.00 MG,47786
AB365341G0,PIRACETAM ， 一般錠劑膠囊劑 ， 400.00 MG,7123
AB36751209,CEFTRIAXONE ， 注射劑 ， 1000.00 MG,1258172.5
AB36751277,CEFTRIAXONE ， 注射劑 ， 500.00 MG,337490.8
AB36788100,CAPTOPRIL ， 一般錠劑膠囊劑 ， 25.00 MG,13878
AB367881G0,CAPTOPRIL ， 一般錠劑膠囊劑 ， 25.00 MG,17195.9
AB37126221,RITODRINE ， 注射劑 ， 50.00 MG,101414
AB37196100,RITODRINE ， 一般錠劑膠囊劑 ， 10.00 MG,788012.7
AB37550212,AMIKACIN ， 注射劑 ， 250.00 MG,108978.5
AB37577100,FLUDIAZEPAM ， 一般錠劑膠囊劑 ， 250.00 MCG,13630.1
AB37601100,FAMOTIDINE ， 一般錠劑膠囊劑 ， 20.00 MG,12395
AB376011G0,FAMOTIDINE ， 一般錠劑膠囊劑 ， 20.00 MG,33
AB37608100,PIRACETAM ， 一般錠劑膠囊劑 ， 400.00 MG,1212
AB38016100,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 600.00 MG,36498
AB38019100,DICLOFENAC ， 緩釋錠劑膠囊劑 ， 100.00 MG,151934.5
AB38075351,HYDROCORTISONE ， 外用液劑 ， 1.67  MG/ML ， 60.00 ML,28926
AB38213100,OFLOXACIN ， 一般錠劑膠囊劑 ， 200.00 MG,1267128.8
AB38288312,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 2.00 GM,43352.7
AB38288321,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 5.00 GM,23433.7
AB38288329,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 10.00 GM,473
AB38332100,CEFACLOR ， 一般錠劑膠囊劑 ， 250.00 MG,2935715.8
AB38554100,OFLOXACIN ， 一般錠劑膠囊劑 ， 100.00 MG,217186.6
AB38574100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,3797534.4
AB38600100,DILTIAZEM ， 一般錠劑膠囊劑 ， 60.00 MG,273433.5
AB38605100,FAMOTIDINE ， 一般錠劑膠囊劑 ， 20.00 MG,5953314.8
AB386051G0,FAMOTIDINE ， 一般錠劑膠囊劑 ， 20.00 MG,34149926.2
AB38610100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,120
AB38685100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,12582621.8
AB38710100,RANITIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,98
AB38843212,CEFOXITIN (=CEPHOXITIN) ， 注射劑 ， 2000.00 MG,16904
AB38867100,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,312965
AB388671G0,ATENOLOL ， 一般錠劑膠囊劑 ， 50.00 MG,2316227.7
AB38927323,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 6.00 GM,739.6
AB39013100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 30.00 MG,24269
AB39223212,CEFTAZIDIME ， 注射劑 ， 2000.00 MG,32968
AB39701151,LACTULOSE ， 口服液劑 ， 60.00 ML  600-667MG/ML,807139.1
AB39701166,LACTULOSE ，口服液劑 ， 300.00 ML  600-667MG/ML,585014.7
AB39701177,LACTULOSE ， 口服液劑 ，500.00 ML  600-667MG/ML,24518
AB39894248,CALCITONIN SALMON ， 注射劑 ， 50.00 ， IU,1
AB40046100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 50.00 MG,169572.1
AB403021G0,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,67955.5
AB40517100,TENOXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,13447
AB40583100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,194318.5
AB405831G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,4051901.6
AB40644100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,41252.9
AB408351G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,468102
AB40982209,CEFOXITIN (=CEPHOXITIN) ， 注射劑 ， 1000.00 MG,116199
AB40983100,CALCITRIOL ， 一般錠劑膠囊劑 ， .50 MCG,2986933.8
AB41037229,DOXORUBICIN LIPOSOMAL COMPLEX， 注射劑 ， 20.00 MG,17797
AB410701G0,SULPIRIDE ， 一般錠劑膠囊劑 ， 50.00 MG,57
AB41226100,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,1585575
AB412261G0,TRANEXAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,6051462.7
AB41233100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,237278
AB412331G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,13840387.5
AB41236151,AMBROXOL ， 口服液劑 ， 3.00  MG/ML ， 60.00 ML,356738.7
AB41236155,AMBROXOL ， 口服液劑 ， 3.00  MG/ML ， 100.00 ML,8123
AB41236157,AMBROXOL ， 口服液劑 ， 3.00  MG/ML ， 120.00 ML,14689
AB41332100,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,197617
AB413321G0,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 300.00 MG,6355278.6
AB41378100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,26489.2
AB413781G0,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,18
AB41519100,FLUDIAZEPAM ， 一般錠劑膠囊劑 ， 250.00 MCG,69209
AB41535100,PENTOXIFYLLINE ， 緩釋錠劑膠囊劑 ， 400.00 MG,7815229.1
AB41606100,FLUOXETINE ， 一般錠劑膠囊劑 ， 20.00 MG (DISPERSIBLE),3630847
AB41641100,INDAPAMIDE ， 一般錠劑膠囊劑 ， 2.50 MG,1136412.4
AB41654100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,356510.6
AB416541G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,127053.5
AB41669100,ACEBUTOLOL ， 一般錠劑膠囊劑 ， 400.00 MG,732747.6
AB41684238,TENOXICAM ， 注射劑 ， 20.00 MG,54921.4
AB41956100,METOPROLOL ， 一般錠劑膠囊劑 ， 100.00 MG,160
AB42198100,ALVERINE CITRATE， 一般錠劑膠囊劑 ， 60.00 MG,303992.8
AB42687100,DEXTROMETHORPHAN ， 緩釋錠劑膠囊劑 ， 60.00 MG,912069.2
AB42743100,MEPHENOXALONE ， 一般錠劑膠囊劑 ， 200.00 MG,10021.5
AB42755100,ACYCLOVIR ， 一般錠劑膠囊劑 ， 200.00 MG,15
AB42855100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,2738174.3
AB428551G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,897873.5
AB42908100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,316512.5
AB429081G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,2790199.8
AB42977100,FLUOXETINE ， 一般錠劑膠囊劑 ， 20.00 MG (DISPERSIBLE),39097
AB43122151,PROCATEROL ， 口服液劑 ， 5.00  MCG/ML ， 60.00 ML,164073.6
AB43124421,DICLOFENAC ， 眼用液劑 ， 1.00  MG/ML ， 5.00 ML,206
AB432231G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,65454.5
AB43265100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,68309
AB432651G0,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,1351954.5
AB43622100,PROCATEROL ， 一般錠劑膠囊劑 ， 50.00 MCG,1456354.7
AB43657100,DICLOFENAC ， 緩釋錠劑膠囊劑 ， 100.00 MG,876883
AB43680100,IBUPROFEN ， 一般錠劑膠囊劑 ， 400.00 MG,211938.1
AB437001G0,PROCATEROL ， 一般錠劑膠囊劑 ， 25.00 MCG,16384269.5
AB43706100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,648170.3
AB437061G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,50213794.1
AB43735112,TERBUTALINE ， 口鼻噴霧/吸入劑 ， 2.50  MG/ML ， 2.00 ML,2761801.9
AB43837100,DICLOFENAC ， 緩釋錠劑膠囊劑 ， 100.00 MG,322905.5
AB43847335,SERTACONAZOLE ， 外用軟膏劑 ， 20.00  MG/GM ， 15.00 GM,256397.8
AB43852100,CARTEOLOL ， 一般錠劑膠囊劑 ， 5.00 MG,259408
AB43859100,CLOZAPINE ， 一般錠劑膠囊劑 ， 100.00 MG,775238.6
AB43929100,SULFASALAZINE ， 一般錠劑膠囊劑 ， 500.00 MG,39899753.8
AB43943412,IPRATROPIUM ， 口鼻噴霧/吸入劑， 0.25  MG/ML ， 2.00 ML,2580994.3
AB43991100,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 150.00 MG,2184
AB439911G0,CLINDAMYCIN ， 一般錠劑膠囊劑 ， 150.00 MG,210
AB44046157,FUROSEMIDE ， 口服液劑 ， 10.00  MG/ML ， 120.00 ML,6573.1
AB44091100,MEPHENOXALONE ， 一般錠劑膠囊劑 ， 200.00 MG,1854644.9
AB440911G0,MEPHENOXALONE ， 一般錠劑膠囊劑 ， 200.00 MG,13327268.3
AB44098100,FELODIPINE ， 緩釋錠劑膠囊劑 ， 5.00 MG,642337.5
AB44122100,ACYCLOVIR ， 一般錠劑膠囊劑 ， 400.00 MG,1927654.8
AB44124100,CILOSTAZOL ， 一般錠劑膠囊劑 ， 100.00 MG,15144428
AB44136100,CILOSTAZOL ， 一般錠劑膠囊劑 ， 50.00 MG,14938874.1
AB44280265,SODIUM CHLORIDE ， 注射劑 ， 9.00  MG/ML ， 250.00 ML,2
AB44331100,FINASTERIDE ， 一般錠劑膠囊劑 ， 5.00 MG,35
AB44374100,SERTRALINE ， 一般錠劑膠囊劑 ， 50.00 MG,7306717.8
AB44403100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,6458618.6
AB444031G0,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,3174335.4
AB44434100,PINAVERIUM ， 一般錠劑膠囊劑 ， 50-100 MG,1220819.2
AB44449100,ALVERINE CITRATE， 一般錠劑膠囊劑 ， 67.00 MG,537528.3
AB44451500,SERTACONAZOLE ， 陰道用錠劑膠囊劑 ， 500.00 MG,15608
AB44463100,ZOLPIDEM ， 一般錠劑膠囊劑 ， 10.00 MG,1381257.5
AB44466221,PACLITAXEL ， 注射劑 ， 30.00 MG,77682.5
AB44466229,PACLITAXEL ， 注射劑 ， 60.00 MG,7708
AB44466235,PACLITAXEL ， 注射劑 ， 90.00 MG,13671
